--- Execution profile ---
Total samples       : 3619

          ns  percent  samples  top
     4000000    0.11%        4  it.unimi.dsi.fastutil.longs.Long2ReferenceOpenHashMap$MapIterator.nextEntry
     4000000    0.11%        4  com.google.common.collect.AbstractIterator.tryToComputeNext
     4000000    0.11%        4  net.minecraft.world.entity.LivingEntity.getBlockSpeedFactor
     4000000    0.11%        4  net.minecraft.world.level.material.FluidState.getType
     4000000    0.11%        4  net.minecraft.world.level.gameevent.vibrations.VibrationSystem$Ticker$$Lambda.0x00000ffc02718d98.accept
     4000000    0.11%        4  _tlv_get_addr
     4000000    0.11%        4  _platform_memset
     4000000    0.11%        4  io.papermc.paper.threadedregions.RegionizedTaskQueue$PrioritisedQueue.executeTask
     4000000    0.11%        4  poll
     4000000    0.11%        4  net.minecraft.world.entity.ai.goal.GoalSelector.goalCanBeReplacedForAllFlags
     4000000    0.11%        4  net.minecraft.world.entity.ai.goal.Goal.requiresUpdateEveryTick
     4000000    0.11%        4  net.minecraft.world.entity.ai.attributes.AttributeInstance.getValue
     4000000    0.11%        4  IndexSetIterator::advance_and_next
     4000000    0.11%        4  TypeOopPtr::TypeOopPtr
     4000000    0.11%        4  net.minecraft.world.level.block.LiquidBlock.randomTick
     4000000    0.11%        4  net.minecraft.world.entity.Mob.inactiveTick
     4000000    0.11%        4  net.minecraft.world.entity.Mob.requiresCustomPersistence
     4000000    0.11%        4  net.minecraft.network.codec.StreamCodec$5.encode
     4000000    0.11%        4  Node_Backward_Iterator::next
     4000000    0.11%        4  net.minecraft.world.entity.ai.behavior.Behavior.hasRequiredMemories
     4000000    0.11%        4  net.minecraft.world.entity.ai.Brain.getRunningBehaviors
     4000000    0.11%        4  Dict::Insert
     3000000    0.08%        3  net.minecraft.world.entity.Entity.setTicksFrozen
     3000000    0.08%        3  net.minecraft.world.entity.Entity.getBukkitEntity
     3000000    0.08%        3  writev
     3000000    0.08%        3  net.minecraft.world.entity.ai.Brain.startEachNonRunningBehavior
     3000000    0.08%        3  vmSymbols::find_sid
     3000000    0.08%        3  Node::dominates
     3000000    0.08%        3  io.netty.util.Recycler$LocalPool.claim
     3000000    0.08%        3  io.netty.util.internal.shaded.org.jctools.queues.BaseMpscLinkedArrayQueue.offer
     3000000    0.08%        3  net.minecraft.world.entity.ai.behavior.declarative.MemoryCondition$Absent.memory
     3000000    0.08%        3  io.papermc.paper.entity.activation.ActivationRange.checkIfActive
     3000000    0.08%        3  read
     3000000    0.08%        3  os::current_thread_cpu_time
     3000000    0.08%        3  io.papermc.paper.threadedregions.RegionizedWorldData.forEachTickingEntity
     3000000    0.08%        3  net.minecraft.world.entity.ai.goal.Goal.getFlags
     3000000    0.08%        3  BarrierSetC2::compute_liveness_at_stubs
     3000000    0.08%        3  NTarjan::DFS
     3000000    0.08%        3  org.bukkit.craftbukkit.entity.CraftSpider.getHandleRaw
     3000000    0.08%        3  net.minecraft.world.entity.ai.goal.GoalSelector.tickRunningGoals
     3000000    0.08%        3  org.bukkit.craftbukkit.entity.CraftPlayer.getHandleRaw
     3000000    0.08%        3  org.bukkit.craftbukkit.entity.CraftGoat.getHandleRaw
     3000000    0.08%        3  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap.addTo
     3000000    0.08%        3  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenHashSet$SetIterator.hasNext
     3000000    0.08%        3  net.minecraft.world.entity.LivingEntity.isBaby
     3000000    0.08%        3  org.bukkit.craftbukkit.entity.CraftDolphin.getHandleRaw
     3000000    0.08%        3  org.bukkit.craftbukkit.entity.CraftDolphin.getHandle
     3000000    0.08%        3  Compile::find_alias_type
     3000000    0.08%        3  java.lang.Object.hashCode
     3000000    0.08%        3  org.bukkit.NamespacedKey.isValidNamespaceChar
     3000000    0.08%        3  PhaseCFG::partial_latency_of_defs
     3000000    0.08%        3  java.util.Arrays.fill
